Scheme Name,Net Asset Value 
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1018.4324 
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1090.4761 
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1024.7365 
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1033.2211 
TRUSTMF BANKING & PSU DEBT FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL,1019.5699 
UTI Banking & PSU Debt Fund - Direct Plan - Annual IDCW,12.1578 
UTI Banking & PSU Debt Fund - Direct Plan - Flexi IDCW,16.4293 
UTI Banking & PSU Debt Fund - Direct Plan - Growth Option,19.0655 
UTI Banking & PSU Debt Fund - Direct Plan - Half-Yearly IDCW,12.6514 
UTI Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,12.6733 
UTI Banking & PSU Debt Fund - Direct Plan - Quarterly IDCW,14.1902 
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW,12.0173 
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW,12.6418 
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW,12.589 
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,12.5511 
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW,12.9368 
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option,18.8515 
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,96.7584 
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,95.5084 
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,11.021 
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,12.4442 
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,12.426 
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,12.3089 
Aditya Birla Sun Life Income Fund-Plan A(Dividend),11.7535 
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend),10.6457 
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth),35.2986 
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend),15.5708 
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth),35.0763 
Axis Corporate Debt Fund - Direct Plan - Daily IDCW,10.2348 
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW,10.2435 
Axis Corporate Debt Fund - Direct Plan - Regular IDCW,12.8918 
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW,10.3693 
Axis Corporate Debt Fund - Direct Plan Growth,15.1907 
Axis Corporate Debt Fund - Regular Plan - Daily IDCW,10.2347 
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW,10.2368 
Axis Corporate Debt Fund - Regular Plan - Regular IDCW,12.2709 
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW,10.2511 
Axis Corporate Debt Fund - Regular Plan Growth,14.5398 
BANDHAN Corporate Bond Fund - Direct Annual IDCW,10.2640 
BANDHAN Corporate Bond Fund - Direct Growth,16.7831 
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,11.4678 
BANDHAN Corporate Bond Fund - Direct Monthly IDCW,10.3721 
BANDHAN Corporate Bond Fund - Direct Periodic IDCW,11.1346 
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,10.4756 
BANDHAN Corporate Bond Fund - Regular Annual IDCW,10.2566 
BANDHAN Corporate Bond Fund - Regular Growth,16.4077 
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW,10.8771 
BANDHAN Corporate Bond Fund - Regular Monthly IDCW,10.6248 
BANDHAN Corporate Bond Fund - Regular Periodic IDCW,11.0609 
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW,10.5181 
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,10.4847 
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,27.0993 
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,10.2223 
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,10.2660 
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,10.6488 
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,24.7042 
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option,10.2996 
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option,10.4531 
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION,10.4219 
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,23.4161 
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION,10.2543 
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION,10.3434 
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,19.9168 
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),12.3658 
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,18.8453 
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),11.6995 
DSP Corporate Bond Fund - Direct - Growth,13.8848 
DSP Corporate Bond Fund - Direct - IDCW,11.3372 
DSP Corporate Bond Fund - Direct - IDCW - Monthly,10.4738 
DSP Corporate Bond Fund - Direct - IDCW - Quarterly ,11.3313 
DSP Corporate Bond Fund - Regular - Growth,13.7217 
DSP Corporate Bond Fund - Regular - IDCW,11.3139 
DSP Corporate Bond Fund - Regular - IDCW - Monthly,10.4548 
DSP Corporate Bond Fund - Regular - IDCW - Quarterly ,10.6887 
Franklin India Corporate Debt Fund - Direct - Bonus,0.0000 
Franklin India Corporate Debt Fund - Direct - GROWTH,90.4516 
Franklin India Corporate Debt Fund - Growth,84.5044 
Franklin India Corporate Debt Fund - Monthly Bonus,0.0000 
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,16.3485 
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW,18.2801 
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,14.6558 
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,16.5951 
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,13.6589 
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,12.7964 
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,14.9068 
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,12.2062 
HDFC Corporate Bond Fund - Growth Option,27.5894 
